Алистратова,главнокомандующий
Аль-Хаджадж,потомок паломника
Аникеева,победа
Беляева,светлый
Бутакова,ветвь
Власкина,грубоватый
Высоковская,высокий
Гиляндиков,из села Гилянд
Голубев,голубь
Григорян,бдительный
Деастинова,мастер
Копыльцов,копыто
Кривошеева,кривой мудрец
Кружилина,пристрастный к хмели
Куприкова,растение купырь
Мазур,сладость
Мельникова,владелец мельницы
Неофитова,недавно насажденный
Олейникова,маслобойщик
Омельченко,соперник
Рябцева,пестрый
Саядян,охотник
Скойбеда,сотворение беды
Счастливый,счастливый
Тимиргириева,сын Тамерлана
Шешняева,рисовые лепешки
Абаджян,лотос
Агишева,богатый
Аль-Асади,лев
Аль-Насер,помощник
Антонова,состязание
Бубнов,болтать без умолку
Бурляева,сильный
Водолеева,сосуд для умывания
Голохвастова,хвастаться
Дмитриенко,посвященный Деметре
Жукова,железный
Карелин,Белое море
Карпенко,плод
Крива,кривой
Лисица,лукавый
Лихоносов,некрасивый нос
Малайчик,семья
Маркосян,принадлежащий к семье Маркосовых
Маслова,торговец маслом
Морозова,зима
Никулина,побеждающий народ
Селиванников,бог лесов
Териаки,зверь
Тюпанская,храбрый
Устенко,маленький
Хен,постоянный
Цыбенко,длинная нога
Чайка,свободный
Якименко,поставленный Богом
Аникеенко,маленький
Березина,Береза
Бугаян,молния
Волошина,владеющий славой
Гниломедова,гнилой мёд
Давыдова,возлюбленный
Забитова,правитель
Ковалева,кузнец
Кузнецова,материнская
Маломуж,маленький
Мандрыко,стесненное пространство
Марущенко,маленький
Мушурова,пожилой
Нальгиева,голодный
Пинчук,Пинск
Погребнова,погреб
Стадник,пастух
Теплова,Теплый
Федосенко,Божий дар
Фролова,цветущий
Хабюк,светящийся
Чехлатова,маленькая шляпа
Чиркова,Чирок
Шамро,шуршать
Абрамова,отец народов
Айвазян,потомственные колдуны луны
Аракчеева,любитель выпить
Белан,белый
Беляев,обелённый
Бондаренко,бондарь
Буткова,полнеть
Журавлева,Журавль
Исхакова,будет смеяться
Карнеев,ягода кизила
Коваленко,кузнеца
Кожемякина,Кожемяка
Кононенко,трудолюбивый
Косьянова,пустой
Куралесова,весёлая
Медведкина,крупное насекомое
Морено,смуглый
Новикова,прихожий
Пилипенко,любящий лошадей
Терентьев,награда
Федина,дар богов
Фериг,сильный
Филимонов,целующийся
Шарипова,благородный
Шепелева,шепелявить
Ярошенко,богопоклонник
Адамова,человек
Алзохаили,острый меч
Анисина,полезный
Бурмистрова,мэр
Быстрова,проворный
Ганусенко,милость
Глазатова,широко раскрытые глаза
Грахова,горох
Иващенко,маленький
Ивченко,сын Ивана
Исламкина,покорность
Кандаурова,эпоха
Ковалева,кузнец
Колесникова,колесо
Кононова,трудящийся
Кравченко,портной
Манжуров,победа
Османова,могущество
Передерий,рваный
Пономарева,прислужник
Рыковская,громкий крик
Савинова,мудрец
Савченко,испрошенный у Бога
Свирина,дар души
Срибная,серебряный
Тадевосян,благодарение
Фоменко,близнец
Шураева,поселение
Юрова,голова
Алексеева,защитник
Бийгереева,смелый
Вильцева,деревня
Коломеец,добытчик соли
Мазовка,мазать
Пантелеева,совершенство
Пинчук,Пинск
Плетнева,плетня
Синельникова,красить ткани
Сосова,здравый
Тесницкая,Тесница
Шевченко,портной
Аббасова,лев
Арский,удмурт
Бияк,бойкий
Власова,простой
Казанская,казан
Костылин,костыль
Кочурова,селезень
Можарова,поселение
Нам,юг
Огинский,дворянин
Пацурия,пастух
Перов,писарь
Пономарева,прислужник
Родыгина,герой
Рыбянец,рыболов
Сальникова,сало
Сафонова,спрятанный Богом
Туманова,туман
Уколова,доля
Худоярова,худой
Целуева,целость
Яковенко,следующий по пятам
Яцевская,охотник
Авакова,обнимающий
Величко,великий
Волошко,владеющий миром
Зоричева,заря
Касай,щедрый
Ковбель,веселый
Крыловская,поселение
Лобода,белый
Матвиенко,могущественный
Москаленко,Москва
Рагозина,тростник
Рафаелян,исцеленный богом
Савченко,старец
Сенкевич,бог слышит
Сергеева,высокочтимый
Сидорова,плодородие
Стальская,сталь
Терещенко,тереть
Тимошенко,почитающий бога
Ткаченко,ткач
Факеева,тюлень
Частковская,частый
Шарина,медный
Абдуллоев,раб Аллаха
Авдеева,слуга Божий
Бударина,беспокойный
Васильева,царственный
Ващилина,приносить в жертву
Галушкина,галушка
Дерябина,скрести
Жураев,друг
Зотин,животворный
Ключко,костыль
Короленко,гордый
Костенко,стойкий
Лихошерстов,волосатый
Мамренко,молот
Панарина,барин
Склярова,стеклодув
Фисенко,украшенный цветами
Ходыкина,подвижный
Чепелева,чепец
Амирханян,правитель
Беляева,обелённый
Броновицкая,крепкий
Вдовиченко,вдова
Волков,волк
Генералов,могучий
Голубовская,голубь
Далакишвили,цирюльник
Демецкая,чистый
Евсеев,благочестивый
Кислов,капризный
Колесниченко,колесо
Митрофанова,матерью явленный
Павлова,скромный
Рогачев,могучий
Семенов,услышанный Богом
Скилевой,отделившийся
Смирнова,смирный
Соболев,соболь
Трухина,труха
Бабюк,рыба
Волкова,волк
Голофаст,хитрый
Дубров,дуб
Исаева,спасение
Кобзин,кобза
Колесник,колесо
Кольцова,кольцо
Лугарев,луг
Москвичева,Москва
Надина,надежда
Пак,тыква
Приходько,приход
Смирнов,смирный
Темирханова,железный
Чередниченко,пастух
Шевченко,портной
Югай,превосходный
Ягудинов,ягода
Багагозян,начало
Бойдыш,божественный мир
Бударина,лодка
Бурова,темно-русый
Васильева,великодушный
Викленко,слава Божья
Винникова,винокур
Гражданкин,городской
Кузнецова,кузнец
Кузнецова,кузнец
Кулинцов,кузнец
Микулина,победитель
Нечипоренко,победитель
Подгорнова,подгорный
Подолякина,подол
Рыбалко,рыбак
Рябова,пятнистый
Сиверина,строгий
Тибай,река
Хлеб,хлеб
Чубрикова,длинноволосый
Шалабаева,сорвиголова
Шевченко,портной
Щекин,щекастый
Юсеф,Бог умножит
Атабекян,дар
Барышникова,барыга
Бушова,смелый
Вова,владеть миром
Волкова,волк
Горбанева,горбатый
Горковец,гора
Гридина,бодрствующий
Грищенко,почтальон
Другова,верный
Забейворота,закрытость
Колганова,колган
Кравченко,портной
Ли,луг
Лимасова,граница
Носова,нос
Подгайко,роща
Попова,священник
Прозоровская,поселение
Саакян,весёлый
Самойленко,услышанный Богом
Саркисян,высокочтимый
Супрунова,благоразумный
Татаркова,иноземец
Хаехян,честный
Хоруженко,знаменоносец
Шеневская,поселение
Акимова,поставленный богом
Бобряшов,бобр
Горюнова,горе
Ефанова,известный
Жук,жук
Ковалева,кузнец
Коваленко,кузнец
Кожеуров,рыбак
Литвинов,поселение
Магдесиева,меткий
Нижерадзе,ракушка
Обыденова,обыденный
Орлова,орёл
Палий,поджигатель
Полонская,безлесное место
Прошкина,заводила
Родницкая,поселение
